path,key,zh,en,pt,th,vi,ko
src/locales/lang/table,,梯度,Gradient,Gradiente,การไล่ระดับสี,Cấp độ,
src/locales/lang/routes/system,ModalForm.system.commissionCoding,佣金打码,Commission coding,Comissão,ยอดเดิมพันโบนัส,Hoa hồng tiền vòng cược,
src/locales/lang/routes/discountActivity,business.Amount range,金额区间,Amount range,Montante intervalo,จำนวนเงินระหว่าง,Phạm vi số tiền,
src/locales/lang/routes/discountActivity,business.Amount range_p1,请填写最小和最大金额,Please enter the minimum and maximum amount,"Por favor, preencha o valor mínimo e máximo",โปรดกรอกจำนวนเงินขั้นต่ำและสูงสุด,Vui lòng điền số tiền tối thiểu và số tiền tối đa,
src/locales/lang/routes/discountActivity,business.Amount range_p2,最小金额不能大于最大金额,The minimum amount cannot be greater than the maximum amount,O valor mínimo não pode ser maior que o valor máximo,จำนวนเงินขั้นต่ำต้องไม่มากกว่าจำนวนเงินสูงสุด,Số tiền tối thiểu không được lớn hơn số tiền tối đa,
src/locales/lang/business,business.Expired,过期,Expired,Expirado,หมดอายุ,Quá hạn,
src/locales/lang/common,business.Fiat_currency,法币,Fiat currency,Moeda Fiat,สกุลเงินตรา,Nội tệ,
src/locales/lang/business,business.Fiat_currency_usdt,虚拟货币,Cryptocurrency,Cripto,สกุลเงินดิจิทัล,Tiền điện tử,
src/locales/lang/business,business.Promotion,推广ID,Promotion ID,ID de promoção,ID การตลาด,ID quảng bá,
src/locales/lang/business,business.TimeZone,时区切换,Timezone switch,Fuso horário,โซนเวลา,Chuyển đổi múi giờ,
src/locales/lang/business,business.Venue_balance,场馆余额,Game lobby balance,,,Số tiền sảnh game,
src/locales/lang/business,business.Venue_recy,回收,Recovery,,,Khôi phục,
src/locales/lang/business,business.Venue_recy_1,场馆回收,Game lobby recovery,,,Khôi phục sảnh game,
src/locales/lang/business,business.accout_1,修改账号,Modify Account,,,Sửa tài khoản,
src/locales/lang/business,business.accout_2,一行一个，最多操作10000个用户,"One per line, a maximum of 10,000 users can be processed.",,,"Mỗi hàng mỗi cái, thao tác nhiều nhất là 10000 người dùng",
src/locales/lang/business,business.accout_3,请输入修改账号,Please enter the modified account,,,Vui lòng nhập sửa đổi tài khoản,
src/locales/lang/business,business.add_new,新增,Add,Adicionar novo,เพิ่มใหม่,Thêm mới,
src/locales/lang/business,business.add_new_apk,批量更新APK,Batch update APK,,,Cập nhật APK hàng loạt,
src/locales/lang/business,business.agent_1,1级代理,Level 1 Agent,,,Đại lý cấp 1,
src/locales/lang/business,business.agent_10,10级代理,Level 10 Agent,,,Đại lý cấp 10,
src/locales/lang/business,business.agent_2,2级代理,Level 2 Agent,,,Đại lý cấp 2,
src/locales/lang/business,business.agent_3,3级代理,Level 3 Agent,,,Đại lý cấp 3,
src/locales/lang/business,business.agent_4,4级代理,Level 4 Agent,,,Đại lý cấp 4,
src/locales/lang/business,business.agent_5,5级代理,Level 5 Agent,,,Đại lý cấp 5,
